Summary, Issue Type, Description
"Ejecutar comando basico",Story,"## Descripcion
Como un **usuario de mybash**, quiero poder **llamar a un comando** para conseguir **que se ejecute**
## Ejemplo
ls 
"
"Ejecutar comando con numero variable de argumentos",Story,"## Descripcion
Como un **usuario de mybash**, quiero poder **llamar a un comando usando un numero variable de argumentos** para conseguir **ejecututar cualquier comando independientemente del numero de argumentos que tenga**
## Ejemplo
ls 1 2 3 4 5 6 7 8 9 10 11 12 ... 194
"
"Redireccionar STDIN",Story,"## Descripcion
Como un **usuario de mybash**, quiero poder **redireccionar el input** para **poder pasar el contenido de un archivo a un comando como argumento**
## Ejemplo
wc -l < in
"
"Redireccionar STDOUT",Story,"## Descripcion
Como un **usuario de mybash**, quiero poder **redireccionar el output** para conseguir **guardar el resultado de un comando en un archivo**
## Ejemplo
wc -l > out 
"
"Correr comandos en el background",Story,"## Descripcion
Como un **usuario de mybash**, quiero poder **correr un comando en el background** para conseguir **ser capaz de correr varios comandos al mismo tiempo**
## Ejemplo
/usr/bin/xeyes &
"
"Usar comandos en cadena",Story,"## Descripcion
Como un **usuario de mybash**, quiero poder **redireccionar el output de un comando al input de otro comando** para conseguir **que sea sencillo transmitir datos entre comandos**
## Ejemplo
ls | wc -l
"
"Cambiar de directorio",Story,"## Descripcion
Como un **usuario de mybash**, quiero poder **utilizar el comando cd** para conseguir **cambiar el CWD**
## Ejemplo
cd \~
"
"Conseguir ayuda",Story,"## Descripcion
Como un **usuario de mybash**, quiero poder **ejecutar el comando help** para conseguir **informacion util sobre la shell que estoy utilizando**
## Ejemplo
help
"
"Salir de la shell",Story,"## Descripcion
Como un **usuario de mybash**, quiero poder **ejecutar el comando exit** para conseguir **salir de la shell que estoy utilizando**
## Ejemplo
exit
"
"Recibir caracter EOT",Story,"## Descripcion
Como un **usuario de mybash**, quiero poder **apretar CTRL-D** para conseguir **salir de la shell que estoy utilizando**"
"Entradas incompletas y/o inválidas.",Story,"## Descripcion
Como un **usuario de mybash**, quiero poder **equivocarme al escribir un comando y que se siga ejecutando la shell** para **evitar tener que volver a abrir la shell cada vez que me equivoco**"

